Channel,Name,Elev_Diff_
13,1+11.5,0.16687
19,2+04,0.0023804
13,1+38.5,0.38501
19,2+52,-0.0471802
13,1+71,0.123169
12,1+52,0.0128784
19,3+63,0.053833
13,1+77,0.0531006
12,1+83,9999
19,3+98,0.0802002
13,1+99,-0.16156
12,2+63,-0.254883
19,5+62,-0.0622559
12,2+98,-0.0285034
19,6+13,-0.0064697
13,2+16,0.0167236
12,3+93,0.0985107
19,6+97,-0.0020752
19,7+30,0.041748
19,7+50,0.0157471
19,7+97,0.0540771
12,4+00,0.179688
13,2+57,0.142395
19,9+05,0.0107422
19,9+26,0.0299072
12,4+09,0.0884399
19,9+68,9999
13,2+67,0.045105
12,4+56,-0.0151367
19,10+98,0.0344238
13,3+09,0.174072
12,4+65,0.0290527
13,3+31,0.21875
12,5+13,-0.0170898
13,3+65,0.135437
13,3+95.5,0.225586
12,5+48,0.0883789
12,6+30,0.072876
13,4+14.5,0.268127
13,4+36,9999
12,6+93,-0.0565186
13,4+50,0.109436
13,4+78,0.1474
12,1+04,-0.0391235
19,5+00,0.0441895
19,5+09,0.0931396
19,1+04,-0.137634
21,1+07.5,0.633423
21,1+49,0.484375
21,2+15,0.269653
21,3+80,0.265137
21,4+90,9999
21,6+36,0.197998
21,7+49.5,0.0603027
21,7+66,0.265015
21,8+62,0.128052
21,9+99,9999
21,10+13,0.417114
21,11+12,0.145874
21,11+24,0.154541
21,11+63,0.19873
21,11+73,0.157471
