"Channel","Year","year.date","year.xaxis","channel.trt","mean","SD","SE"
"Channel 12","2012",2012-11-01,2012-01-01,"Channel 12: No treatment",9.78571428571429,2.15472901842834,0.575875553449896
"Channel 12","2013",2013-11-01,2013-01-01,"Channel 12: No treatment",10.3076923076923,2.28708749958746,0.634323942402717
"Channel 12","2014",2014-11-01,2014-01-01,"Channel 12: No treatment",8.28571428571429,2.33464118239815,0.623959101827621
"Channel 12","2015",2015-11-01,2015-01-01,"Channel 12: No treatment",8.42857142857143,2.2434275189912,0.599581224866098
"Channel 12","2018",2018-11-01,2018-01-01,"Channel 12: No treatment",10.5714285714286,1.65084061171111,0.441205712085379
"Channel 12","2021",2021-11-01,2021-01-01,"Channel 12: No treatment",8.35714285714286,1.94569121026803,0.520007849234323
"Channel 13","2012",2012-11-01,2012-01-01,"Channel 13: In-channel treatment",8.0625,2.51578350949891,0.628945877374728
"Channel 13","2013",2013-11-01,2013-01-01,"Channel 13: In-channel treatment",6.92857142857143,2.01777812740365,0.539273888233625
"Channel 13","2014",2014-11-01,2014-01-01,"Channel 13: In-channel treatment",6.875,1.85741756210067,0.464354390525168
"Channel 13","2015",2015-11-01,2015-01-01,"Channel 13: In-channel treatment",7.75,1.43759057685652,0.35939764421413
"Channel 13","2018",2018-11-01,2018-01-01,"Channel 13: In-channel treatment",9.375,2.02895703913776,0.50723925978444
"Channel 13","2021",2021-11-01,2021-01-01,"Channel 13: In-channel treatment",7.5625,2.39356776939085,0.598391942347711
"Channel 19","2012",2012-11-01,2012-01-01,"Channel 19: Upland treatment",9.9375,2.01556443707464,0.503891109268659
"Channel 19","2013",2013-11-01,2013-01-01,"Channel 19: Upland treatment",8.23529411764706,2.88377815904557,0.699418938270242
"Channel 19","2014",2014-11-01,2014-01-01,"Channel 19: Upland treatment",8.125,2.57875939164553,0.644689847911381
"Channel 19","2015",2015-11-01,2015-01-01,"Channel 19: Upland treatment",8.76470588235294,2.68163690133251,0.650392481985176
"Channel 19","2018",2018-11-01,2018-01-01,"Channel 19: Upland treatment",7.05882352941176,1.8190171877725,0.441176470588235
"Channel 19","2021",2021-11-01,2021-01-01,"Channel 19: Upland treatment",6.94117647058824,2.27680116158872,0.55220539280937
"Channel 21","2012",2012-11-01,2012-01-01,"Channel 21: In-channel treatment",6.53333333333333,2.03071650503204,0.524328746990507
"Channel 21","2013",2013-11-01,2013-01-01,"Channel 21: In-channel treatment",6.73333333333333,2.73774324859693,0.706882267200515
"Channel 21","2014",2014-11-01,2014-01-01,"Channel 21: In-channel treatment",8.66666666666667,2.84521318976946,0.734630886692453
"Channel 21","2015",2015-11-01,2015-01-01,"Channel 21: In-channel treatment",7.14285714285714,3.13435413190275,0.837691377885667
"Channel 21","2018",2018-11-01,2018-01-01,"Channel 21: In-channel treatment",8.35714285714286,3.29585153831864,0.880853375290015
"Channel 21","2021",2021-11-01,2021-01-01,"Channel 21: In-channel treatment",5.73333333333333,2.25092573548455,0.581186525805423
