"","Sample","total.pd","herb.pd","rich.pd","shan.pd"
"1",49,0.0700454266585024,0.0383890714822897,-0.0770163533955495,-0.0596362484922333
"2",50,-0.0301034735585517,0.000518001456201264,-0.069845406602486,-0.0292572772921573
"3",51,0.00791563276171626,-0.0236274318343185,0.0105900199782583,-0.00597722472141573
"4",52,0.0225753466742791,-0.00717094679306346,-0.0770163533955495,-0.0428072490500207
"5",53,0.0945357272492923,0.116319623807658,0,0.00270509654137801
"6",54,-0.00624640888869207,0.0240803315012541,0.0117067239619807,0.012454506790051
"7",55,0.0931985745243661,0.0366882755909221,-0.0117067239619807,0.00445411248539821
"8",56,-0.0975063727944796,0.0541064602621497,0.00966793077662552,0.0357478226599638
"9",57,0.0262091752324044,0.0247937279238011,-0.0319646747168645,-0.0647269031880287
"10",58,-0.0524221068738233,-0.00837215969353187,-0.0450516786786849,-0.0326972209347987
"11",59,0.0235238728322874,0.0308835319788005,0.0279238253645451,0.0216854064554235
"12",60,0.0122367582670115,0.0171278533141398,0,-0.00799125493239423
"13",61,-0.0473405323039102,-0.0452357899239771,0,0.0272658618279547
"14",62,-0.0167005936549996,0.00117578992561522,0,0.00607527317783585
"15",33,0.0223569243626121,-0.0258469216965282,-0.0567584026406656,-0.0124837218510858
"16",34,0.0316701175370545,0.38095515065003,0.0450516786786849,0.139766798475948
"17",35,0.0536594855315732,0.210791109431765,-0.0450516786786849,-0.0353303207507364
"18",36,-0.0577603130462421,0.0647007999041659,-0.0279238253645451,0.0856929457949376
"19",37,-0.0053078084742985,0.0967336164114141,-0.022296743940239,-0.0414663172696591
"20",38,0.0374101465187017,0.0434055580358915,-0.0353837479020594,-0.00522115684261363
"21",39,0.0663529339168842,0.0846822280052107,0,-0.0359961591304057
"22",40,0.0509773280355698,-0.088345789690737,-0.0353837479020594,-0.0914300219262798
"23",41,-0.309630384680169,-0.0910623450461782,-0.144364776014473,-0.0560430302503732
"24",42,0.028454189670396,0.0787390407884345,0.0770163533955495,0.0432507657933153
"25",43,0.112945403908283,0.107548218336221,0.0450516786786849,-0.0180034436288112
"26",44,0.0572342539508879,0.125899829415475,-0.0148368214027247,0.00709603071343048
"27",45,0.0507813430742498,0.0728421973552407,0.0319646747168645,-0.0384792100279001
"28",46,0.0106322755829171,0.0965934420414159,0.0770163533955495,0.0718134215680263
"29",47,-0.0022289836983423,0.0627132933608964,0.0130870039618204,0.0547729215260965
"30",48,-0.0405258894742772,-0.0352726923094946,-0.0130870039618204,-0.0258561492267783
"31",16,-0.0736788429561565,-0.0440538813667311,-0.0450516786786849,-0.0263684019518777
"32",18,0.0275261802203936,0.0427944963063317,-0.018561564962574,0.0070422114859963
"33",19,0.00347250483378939,-0.0482902782561725,-0.0539453128646334,-0.0507604125739489
"34",20,-0.0360324242293713,-0.0153188660247912,-0.106167938336382,-0.0272154415998671
"35",21,0.027873764038575,0.0199905351959322,-0.0279238253645451,-0.00803821994422022
"36",22,0.0333017292304127,0.00514711907491538,-0.0653096294335688,0.0216963112233495
"37",23,0.0758996494118271,0.0838711943961428,-0.133774756036215,-0.112838230758853
"38",24,-0.0968543681679292,0.0457396753728984,-0.122068032074234,-0.15542916910517
"39",25,-0.00548192886728005,0.0818561283221195,-0.0653096294335688,0.000643249729992509
"40",26,-0.0651224160596888,-0.0079970555138988,-0.0770163533955495,0.0570782867797708
"41",27,0.027969316096444,0.0063509348711054,-0.0279238253645451,0.030183449200171
"42",28,0.0702214174896239,0.0945043727012638,-0.0247937279238011,-0.0284204644907038
"43",29,0.025879260323335,0.0267868057778752,0.0130870039618204,0.00525974568021543
"44",30,0.0901938755791672,0.0231949793180122,-0.0148368214027247,0.0195380090384399
"45",31,0.0382441580475133,0.296358689620217,0.0450516786786849,0.148793828993632
"46",32,0.026769605189268,0.0984681418485419,-0.022296743940239,0.0161301445787555
"47",1,-0.0192118397621503,0.0330409569590515,-0.0202579507548838,-0.07103300084108
"48",2,0.124275048018613,0.0696062006734748,-0.0941442067096893,-0.326862501713042
"49",3,-0.274720458865494,-0.249106719019735,-0.0770163533955495,-0.0255611165966869
"50",4,-0.0147885856254918,0.234468133371843,-0.0202579507548838,0.126764374410592
"51",5,-0.0200485046775759,0.0169188013030614,0,-0.0359054709504621
"52",6,-0.0392532616597327,0.11156904947191,-0.0319646747168645,-0.0380929160198425
"53",7,-0.014338306521798,0.166311626383022,-0.0567584026406656,0.112567207469803
"54",8,0.0726584963785182,0.0755446615344361,0,0.0319878150513635
"55",9,-0.00110716613993687,0.0379721437468952,-0.0171278533141398,-0.00537882974263499
"56",10,0.0933556220573825,0.276869676959175,0.0567584026406656,0.0656143017375869
"57",11,-0.118424718427235,0.135975047958013,0.101810081319351,0.170197240111849
"58",12,-0.0348724211316851,0.0515682039099636,-0.0279238253645451,0.00356362996582719
"59",13,-0.0535375652103043,0.0194379388329258,-0.0319646747168645,0.0105374149952992
"60",14,0.0856270819898041,0.0751613668875306,-0.0567584026406656,-0.10568303236009
"61",15,0.137968125812087,0.186910807412948,0.0502205693047841,0.0224084706455024
"62",17,NA,NA,NA,NA
